Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
7/17/17,2017,7,17,Monday,29,2017-29,245.47,245.91,245.33,245.53,33531900,220.73,-0.000122415,218.3021429,216.917
7/18/17,2017,7,18,Tuesday,29,2017-29,245.06,245.72,244.67,245.66,42742500,220.84,0.000529607,218.58,217.045
7/19/17,2017,7,19,Wednesday,29,2017-29,246.02,247,246.01,246.99,51034300,222.04,0.005414107,218.805,217.1978
7/20/17,2017,7,20,Thursday,29,2017-29,247.28,247.42,246.47,247.1,47135200,222.14,0.000445247,219.1742857,217.3564
7/21/17,2017,7,21,Friday,29,2017-29,246.44,246.91,246.18,246.88,82340800,221.94,-0.000890304,219.5007143,217.5034
7/24/17,2017,7,24,Monday,30,2017-30,246.79,246.98,246.28,246.82,46622300,221.89,-0.00024297,219.7971429,217.6582
7/25/17,2017,7,25,Tuesday,30,2017-30,247.68,247.8,247.16,247.42,54915600,222.42,0.00243098,220.0957143,217.8308
7/26/17,2017,7,26,Wednesday,30,2017-30,247.75,247.79,247.13,247.43,47575400,222.43,4.03E-05,220.5371429,217.9798
7/27/17,2017,7,27,Thursday,30,2017-30,247.96,248,245.68,247.2,70766600,222.23,-0.00092959,220.8642857,218.1288
7/28/17,2017,7,28,Friday,30,2017-30,246.65,247.06,246.13,246.91,50088400,221.97,-0.001173179,221.1564286,218.3488
7/31/17,2017,7,31,Monday,31,2017-31,247.37,247.48,246.53,246.77,65838700,221.84,-0.000566793,221.4507143,218.5492
8/1/17,2017,8,1,Tuesday,31,2017-31,247.46,247.5,246.72,247.32,55050400,222.33,0.002228839,221.6628571,218.7318
8/2/17,2017,8,2,Wednesday,31,2017-31,247.47,247.6,246.37,247.44,47211200,222.44,0.000485213,221.8564286,218.895
8/3/17,2017,8,3,Thursday,31,2017-31,247.31,247.34,246.64,246.96,40856000,222.01,-0.00193998,221.9464286,219.0402
8/4/17,2017,8,4,Friday,31,2017-31,247.52,247.79,246.97,247.41,60191800,222.42,0.001822236,222.0671429,219.1836
8/7/17,2017,8,7,Monday,32,2017-32,247.49,247.87,247.37,247.87,31995000,222.83,0.001859055,222.2092857,219.3146
8/8/17,2017,8,8,Tuesday,32,2017-32,247.51,248.91,246.83,247.26,61719400,222.28,-0.002461016,222.2264286,219.4354
8/9/17,2017,8,9,Wednesday,32,2017-32,246.47,247.31,246.06,247.25,62632600,222.27,-4.03E-05,222.2357143,219.5598
8/10/17,2017,8,10,Thursday,32,2017-32,246.29,246.44,243.7,243.76,120479500,219.13,-0.014115325,222.035,219.6224
8/11/17,2017,8,11,Friday,32,2017-32,244.02,244.8,243.75,244.12,74869900,219.46,0.001476829,221.8614286,219.6574
8/14/17,2017,8,14,Monday,33,2017-33,245.59,246.79,245.55,246.54,73291900,221.63,0.009913446,221.805,219.7212
8/15/17,2017,8,15,Tuesday,33,2017-33,246.98,247,246.16,246.51,55242700,221.61,-0.000121859,221.7464286,219.7878
8/16/17,2017,8,16,Wednesday,33,2017-33,247.11,247.57,246.45,246.94,56715500,221.99,0.00174452,221.7292857,219.876
8/17/17,2017,8,17,Thursday,33,2017-33,246.24,246.6,243.09,243.09,128490400,218.53,-0.015591196,221.4835714,219.887
8/18/17,2017,8,18,Friday,33,2017-33,242.9,244.19,242.2,242.71,136748000,218.19,-0.001562873,221.2228571,219.889
8/21/17,2017,8,21,Monday,34,2017-34,242.64,243.2,241.83,242.9,65469700,218.36,0.000782695,220.9392857,219.901
8/22/17,2017,8,22,Tuesday,34,2017-34,243.57,245.62,243.55,245.44,63140100,220.64,0.010456999,220.8107143,219.9596
8/23/17,2017,8,23,Wednesday,34,2017-34,244.33,245.05,244.16,244.56,50203800,219.85,-0.003585438,220.6564286,219.981
8/24/17,2017,8,24,Thursday,34,2017-34,245,245.18,243.75,243.99,50741700,219.34,-0.002330808,220.4364286,219.9978
8/25/17,2017,8,25,Friday,34,2017-34,244.9,245.61,244.39,244.56,64445900,219.85,0.002336253,220.2235714,220.0332
8/28/17,2017,8,28,Monday,35,2017-35,245.17,245.2,244.09,244.57,40565600,219.86,4.10E-05,220.0507143,220.0678
8/29/17,2017,8,29,Tuesday,35,2017-35,243.06,245.15,242.93,244.85,51135700,220.11,0.001144917,219.8964286,220.0712
8/30/17,2017,8,30,Wednesday,35,2017-35,244.83,246.32,244.62,246.01,62030800,221.16,0.00473727,220.0414286,220.1252
8/31/17,2017,8,31,Thursday,35,2017-35,246.72,247.77,246.05,247.49,103803900,222.49,0.006016048,220.2578571,220.2068
9/1/17,2017,9,1,Friday,35,2017-35,247.92,248.33,247.67,247.84,62007000,222.8,0.001414313,220.3414286,220.2966
9/5/17,2017,9,5,Tuesday,36,2017-36,247.26,247.52,244.95,246.06,91398800,221.2,-0.007182113,220.3121429,220.3492
9/6/17,2017,9,6,Wednesday,36,2017-36,246.84,247.28,246.23,246.9,57916900,221.96,0.003413747,220.31,220.4142
9/7/17,2017,9,7,Thursday,36,2017-36,247.25,247.27,246.4,246.87,58034700,221.93,-0.000121407,220.5528571,220.5138
9/8/17,2017,9,8,Friday,36,2017-36,246.54,247.11,246.3,246.58,63832800,221.67,-0.001174679,220.8014286,220.5694
9/11/17,2017,9,11,Monday,37,2017-37,248.04,249.3,248.02,249.21,71364800,224.03,0.010665974,221.2064286,220.7106
9/12/17,2017,9,12,Tuesday,37,2017-37,249.63,250.09,249.42,250.05,56896000,224.79,0.003370529,221.5028571,220.859
9/13/17,2017,9,13,Wednesday,37,2017-37,249.72,250.21,249.59,250.17,59228000,224.9,0.000479984,221.8635714,221.0022
9/14/17,2017,9,14,Thursday,37,2017-37,249.8,250.32,249.6,250.09,95446300,224.82,-0.000319768,222.255,221.1338
9/15/17,2017,9,15,Friday,37,2017-37,248.69,249.29,248.57,249.19,95432400,225.13,0.001346264,222.6321429,221.3114
9/18/17,2017,9,18,Monday,38,2017-38,249.61,250.12,249.28,249.72,46235200,225.61,0.002126753,223.0428571,221.4706
9/19/17,2017,9,19,Tuesday,38,2017-38,250,250.07,249.6,249.97,47108100,225.83,0.001001263,223.4514286,221.6296
9/20/17,2017,9,20,Wednesday,38,2017-38,250.07,250.19,248.92,250.06,59574100,225.91,0.000359862,223.7907143,221.7934
9/21/17,2017,9,21,Thursday,38,2017-38,249.88,249.98,249.19,249.39,48211400,225.31,-0.002679147,223.9921429,221.9124
9/22/17,2017,9,22,Friday,38,2017-38,249.05,249.63,249.02,249.44,51214000,225.35,0.000200396,224.1742857,222.0248
9/25/17,2017,9,25,Monday,39,2017-39,249.15,249.55,248.08,248.93,57064400,224.89,-0.002044588,224.4378571,222.1076
9/26/17,2017,9,26,Tuesday,39,2017-39,249.42,249.7,248.81,249.08,54082000,225.03,0.000602501,224.6571429,222.1936
9/27/17,2017,9,27,Wednesday,39,2017-39,249.88,250.49,248.87,250.05,81001400,225.9,0.003894305,224.9407143,222.2948
9/28/17,2017,9,28,Thursday,39,2017-39,249.73,250.44,249.63,250.35,44778800,226.18,0.001200011,225.2628571,222.3776
9/29/17,2017,9,29,Friday,39,2017-39,250.34,251.32,250.13,251.23,85578000,226.97,0.003514828,225.4728571,222.4742
10/2/17,2017,10,2,Monday,40,2017-40,251.49,252.32,251.29,252.32,59023000,227.96,0.004338701,225.6992857,222.5946
10/3/17,2017,10,3,Tuesday,40,2017-40,252.32,252.89,252.23,252.86,66810200,228.44,0.002140065,225.9521429,222.7256
10/4/17,2017,10,4,Wednesday,40,2017-40,252.69,253.44,252.56,253.16,55953600,228.71,0.001186275,226.23,222.8514
10/5/17,2017,10,5,Thursday,40,2017-40,253.54,254.68,253.2,254.66,63522800,230.07,0.00592568,226.5828571,223.0042
10/6/17,2017,10,6,Friday,40,2017-40,254.15,254.7,253.85,254.37,80646000,229.81,-0.001139091,226.8828571,223.1558
10/9/17,2017,10,9,Monday,41,2017-41,254.63,254.7,253.65,253.95,35803100,229.43,-0.001651191,227.14,223.305
10/10/17,2017,10,10,Tuesday,41,2017-41,254.6,255.05,253.98,254.62,43057400,230.03,0.002638241,227.4342857,223.4688
10/11/17,2017,10,11,Wednesday,41,2017-41,254.51,255.02,254.32,255.02,47674300,230.39,0.001571098,227.7971429,223.63
10/12/17,2017,10,12,Thursday,41,2017-41,254.66,255.06,254.37,254.64,47065100,230.05,-0.001490086,228.1328571,223.7822
10/13/17,2017,10,13,Friday,41,2017-41,255.14,255.27,254.64,254.95,54800400,230.33,0.001217315,228.5214286,223.9486
10/16/17,2017,10,16,Monday,42,2017-42,255.21,255.51,254.82,255.29,38221700,230.64,0.001333688,228.9221429,224.113
10/17/17,2017,10,17,Tuesday,42,2017-42,255.23,255.52,254.98,255.47,31561000,230.8,0.000704924,229.2721429,224.2724
10/18/17,2017,10,18,Wednesday,42,2017-42,255.9,255.95,255.5,255.72,40888300,231.03,0.000978727,229.6185714,224.4474
10/19/17,2017,10,19,Thursday,42,2017-42,254.83,255.83,254.35,255.79,61903800,231.09,0.00027357,229.9128571,224.6238
10/20/17,2017,10,20,Friday,42,2017-42,256.7,257.14,255.77,257.11,89176400,232.28,0.005160612,230.2214286,224.8868
10/23/17,2017,10,23,Monday,43,2017-43,257.48,257.51,256.02,256.11,63915300,231.38,-0.003889477,230.4314286,225.1252
10/24/17,2017,10,24,Tuesday,43,2017-43,256.6,256.83,256.15,256.56,66935900,231.79,0.001757227,230.6514286,225.3284
10/25/17,2017,10,25,Wednesday,43,2017-43,256.18,256.31,254,255.29,103715300,230.64,-0.00495013,230.6921429,225.509
10/26/17,2017,10,26,Thursday,43,2017-43,255.99,256.3,255.48,255.62,69798000,230.94,0.001292614,230.7728571,225.688
10/27/17,2017,10,27,Friday,43,2017-43,256.47,257.89,255.63,257.71,85562500,232.82,0.008176072,231.015,225.9738
